0.756098	8
0.804878	183
0.853659	1241
0.902439	6701
0.95122	32171
1	63492
1.04878	49582
1.09756	1
0.76	39
0.8	251
0.84	1991
0.88	12607
0.92	68334
0.96	333772
1	445087
1.04	218565
0.684211	7
0.736842	69
0.789474	339
0.842105	1294
0.894737	5134
0.947368	19057
1	42997
1.05263	42243
1.10526	5328
0.560976	2
0.609756	19
0.658537	71
0.707317	310
0.756098	1349
0.804878	5414
0.853659	20570
0.902439	74520
0.95122	256244
1	503330
1.04878	587157
1.09756	483788
1.14634	58067
0.821429	1
0.857143	205
0.892857	3679
0.928571	40980
0.964286	332105
1	435114
1.03571	189779
0.6	16
0.644444	50
0.688889	253
0.733333	928
0.777778	3582
0.822222	13617
0.866667	49262
0.911111	171622
0.955556	573583
1	742431
1.04444	184702
0.72549	16
0.764706	134
0.803922	957
0.843137	6057
0.882353	32541
0.921569	156356
0.960784	685251
1	947136
1.03922	358205
0.854545	907
0.890909	12640
0.927273	114861
0.963636	801167
1	1045368
1.03636	506256
0.754386	11
0.789474	193
0.824561	1803
0.859649	13654
0.894737	85821
0.929825	488943
0.964912	2481425
1	2139781
1.03509	464640
0.608696	1
0.652174	9
0.695652	43
0.73913	246
0.782609	1372
0.826087	6517
0.869565	27639
0.913043	110860
0.956522	418888
1	401056
1.04348	3212
0.755102	126
0.795918	1024
0.836735	6482
0.877551	33475
0.918367	158703
0.959184	668348
1	730829
1.04082	206477
0.76	1
0.8	56
0.84	273
0.88	2629
0.92	16390
0.96	98219
1	156424
1.04	87008
1.08	2880
0.695652	24
0.73913	180
0.782609	1120
0.826087	6078
0.869565	28966
0.913043	124034
0.956522	499913
1	921540
1.04348	686196
1.08696	61534
0.740741	1
0.777778	5
0.814815	185
0.851852	2168
0.888889	18823
0.925926	124722
0.962963	714692
1	917567
1.03704	366793
0.764706	2
0.803922	7
0.843137	443
0.882353	4027
0.921569	28005
0.960784	153604
1	146891
1.03922	23441
0.733333	1
0.777778	12
0.822222	65
0.866667	411
0.911111	2720
0.955556	16861
1	89857
1.04444	107737
1.08889	26637
0.673469	1
0.714286	27
0.755102	279
0.795918	1906
0.836735	11498
0.877551	61087
0.918367	288319
0.959184	1221866
1	831384
1.04082	28059
0.777778	10
0.814815	131
0.851852	1329
0.888889	10877
0.925926	72502
0.962963	429573
1	2143552
1.03704	1006907
1.07407	70521
0.807692	198
0.846154	2066
0.884615	15536
0.923077	98324
0.961538	534661
1	274577
1.03846	7319
0.767442	2
0.813953	73
0.860465	1076
0.906977	6913
0.953488	37045
1	87094
1.04651	86226
1.09302	13731
0.803922	112
0.843137	1135
0.882353	8914
0.921569	54347
0.960784	295085
1	395615
1.03922	144737
0.72973	2
0.783784	68
0.837838	560
0.891892	2934
0.945946	13498
1	30657
1.05405	33722
1.10811	7279
1.16216	190
1.21622	226
1.27027	235
1.32432	186
0.68	3
0.72	84
0.76	367
0.8	2361
0.84	10994
0.88	48947
0.92	209736
0.96	826664
1	1459881
1.04	1003803
1.08	87078
0.773585	79
0.811321	912
0.849057	7051
0.886792	44239
0.924528	239373
0.962264	1152692
1	1384235
1.03774	360010
0.794872	24
0.846154	264
0.897436	1429
0.948718	6936
1	8416
1.05128	5542
1.10256	2
0.72093	6
0.767442	66
0.813953	331
0.860465	1847
0.906977	9433
0.953488	46579
1	80496
1.04651	51490
0.68	1
0.72	62
