0.756098	8
0.804878	183
0.853659	1241
0.902439	6706
0.95122	32224
1	44302
1.04878	24025
1.09756	2885
1.14634	575
1.19512	178
1.2439	51
1.29268	26
1.34146	16
1.39024	2
0.76	39
0.8	251
0.84	2000
0.88	12685
0.92	68568
0.96	334246
1	509089
1.04	261432
1.08	29087
1.12	5781
1.16	1715
1.2	523
1.24	148
1.28	43
1.32	4
0.684211	7
0.736842	69
0.789474	340
0.842105	1285
0.894737	5146
0.947368	19364
1	51752
1.05263	63810
1.10526	22983
1.15789	5723
1.21053	1542
1.26316	394
1.31579	157
1.36842	61
1.42105	20
1.47368	4
0.560976	2
0.609756	19
0.658537	71
0.707317	310
0.756098	1347
0.804878	5440
0.853659	20712
0.902439	74594
0.95122	255496
1	184897
1.04878	56250
1.09756	4418
1.14634	335
1.19512	111
1.2439	44
1.29268	22
1.34146	5
1.39024	2
0.821429	1
0.857143	205
0.892857	3680
0.928571	41215
0.964286	334878
1	223249
1.03571	88541
1.07143	8549
1.10714	1438
1.14286	274
1.17857	102
1.21429	25
0.6	16
0.644444	50
0.688889	255
0.733333	958
0.777778	3655
0.822222	13823
0.866667	49676
0.911111	171899
0.955556	572791
1	1775701
1.04444	2174036
1.08889	247016
1.13333	9101
1.17778	1798
1.22222	496
1.26667	167
1.31111	41
1.35556	7
0.72549	16
0.764706	134
0.803922	955
0.843137	6065
0.882353	32861
0.921569	158519
0.960784	690905
1	823694
1.03922	299574
1.07843	12562
1.11765	2358
1.15686	718
1.19608	333
1.23529	142
1.27451	60
1.31373	20
1.35294	5
0.854545	907
0.890909	12693
0.927273	115098
0.963636	800998
1	993534
1.03636	489341
1.07273	11100
1.10909	530
1.14545	96
1.18182	25
1.21818	2
0.754386	11
0.789474	193
0.824561	1803
0.859649	13685
0.894737	86210
0.929825	489944
0.964912	2481258
1	2960676
1.03509	739827
1.07018	14539
1.10526	1578
1.14035	254
1.17544	49
1.21053	17
1.24561	8
1.2807	1
0.608696	1
0.652174	9
0.695652	43
0.73913	246
0.782609	1381
0.826087	6576
0.869565	27956
0.913043	111488
0.956522	419175
1	169561
1.04348	11961
1.08696	1294
1.13043	280
1.17391	52
1.21739	14
1.26087	1
0.755102	126
0.795918	1029
0.836735	6499
0.877551	33554
0.918367	158841
0.959184	667268
1	491194
1.04082	70353
1.08163	6664
1.12245	1286
1.16327	199
1.20408	11
0.76	1
0.8	56
0.84	275
0.88	2643
0.92	16438
0.96	98399
1	75003
1.04	25333
1.08	2478
1.12	494
1.16	150
1.2	59
1.24	25
1.28	5
0.695652	24
0.73913	180
0.782609	1122
0.826087	6121
0.869565	29164
0.913043	124437
0.956522	499978
1	1054085
1.04348	857791
1.08696	22883
1.13043	1765
1.17391	382
1.21739	69
1.26087	11
0.740741	1
0.777778	5
0.814815	185
0.851852	2171
0.888889	18854
0.925926	125007
0.962963	714791
1	638540
1.03704	65813
1.07407	2284
1.11111	426
1.14815	78
1.18519	23
1.22222	3
0.764706	2
0.803922	7
0.843137	443
0.882353	4028
0.921569	28182
0.960784	153992
1	152251
1.03922	43021
1.07843	2375
1.11765	347
1.15686	103
1.19608	30
1.23529	18
1.27451	1
0.733333	1
0.777778	12
0.822222	65
0.866667	413
0.911111	2724
0.955556	16918
1	94191
1.04444	168824
1.08889	124215
1.13333	18994
1.17778	4123
1.22222	1193
1.26667	337
